id,content,visible
2,The primary occupancy declaration for %a is inconsistent with the occupancy type of the property in Section II of the application.,True
7,This case does not meet Fannie Mae's eligibility requirements.,False
8,The risk profile of this loan casefile appears to meet Fannie Mae's guidelines.,False
9,This loan casefile appears to meet Fannie Mae's eligibility requirements.,False
10,"According to the Social Security Administration (SSA), the Social Security number (SSN) format for %a appears to be invalid. The SSN format may be invalid because it does not contain 9 numeric characters; or zeros were entered in the area number (first three digits of SSN), the group number (middle two digits), or the serial number (last four digits). The SSN must be reviewed for accuracy, the loan application updated to reflect a valid SSN for the borrower, and the loan casefile resubmitted to DU. If a valid SSN cannot be confirmed, the loan is not eligible for delivery to Fannie Mae.",True
11,"According to the Social Security Administration (SSA), the Social Security number (SSN) for %a either has not been issued, or was recently issued.   The SSN accuracy must be confirmed, and if incorrect, the SSN must be updated and the loan casefile resubmitted to DU.  If the SSN is determined to be correct, it must be validated directly with the SSA (direct validation by a third party is acceptable), and the loan must be delivered with SFC 162.  If the SSN cannot be validated with the SSA, the loan is not eligible for delivery to Fannie Mae.",True
12,"According to the Social Security Administration (SSA), based on the approximate issuance date of the Social Security number (SSN) and the borrower age on the application, the SSN entered for %a appears to have been issued prior to the borrower's date of birth.  The SSN accuracy must be confirmed, and if incorrect, it must be updated and the loan casefile resubmitted to DU.  If the SSN is determined to be correct, it must be validated directly with the SSA (direct validation by a third party is acceptable), and the loan must be delivered with SFC 162.  If the SSN cannot be validated with the SSA, the loan is not eligible for delivery to Fannie Mae.",True
27,The following data elements are invalid: Data element|Current value|,True
34,"The risk assessment of the loan casefile may not be accurate because the following accounts on the loan application did not have a minimum monthly payment and DU was unable to calculate an accurate debt-to-income ratio. The lender must ensure the DTI used in the risk assessment is accurate. If a payment must be included in the DTI, the payment amount must be entered on the loan application and the loan casefile resubmitted to DU. If the minimum monthly payment is $0, the lender must include documentation in the loan file confirming the $0 payment amount. Deferred installment debts must be included as part of the borrower's recurring monthly debt obligations. For student loans, the lender may qualify the borrower with the $0 payment if there is documentation to support that the $0 payment is associated with an income-driven repayment plan; alternatively, the lender must either use 1% of the outstanding balance as the estimated payment or derive a fully amortizing payment using the student loan documentation.
Borrower|Creditor|Account Number|Balance",True
36,"Based on the data submitted, it appears that cash is being received on a purchase or construction transaction.  This loan is eligible for delivery to Fannie Mae only if the cash back to the borrower is reimbursement for earnest money paid by the borrower prior to closing, for the borrower's overpayment of fees and charges (including excess lender credit derived from premium pricing), and/or for a pro-rated real estate tax credit (in locales where real estate taxes are paid in arrears).  If the borrower receives cash back for a permissible purpose as listed above, the lender must confirm that the minimum borrower contribution requirements, if any, have been met.",True
37,"This case is out of scope.  Desktop Underwriter does not contain the rules or models that are necessary in order to underwrite the product, borrower, or type of loan submitted.  Underwriting results may therefore not be valid.",True
45,Verify that the borrower held legal title to the lot prior to the first advance of interim construction financing.,True
59,"The following assets were counted towards available funds.  With the exception of cash on hand, all available funds greater than the amount required to close have been added to cash reserves.
Borrower|Asset Type|Institution Name|Amount",True
63,Verify assets totaling $%a from the liquid assets listed on the 1003.  Refer to the Selling Guide for additional information.,True
64,"If depository assets are needed to support the amount of funds required for reserves, verify these assets with a verification of deposit or bank statements covering a one-month period. Direct verifications provided by a third party asset verification vendor are acceptable if completed in accordance with the Selling Guide.",True
